psraid;qk9a;qk9b;qk9c;qk9d;qk9e;qk9f;qk9g;qk22a;qk22b;qk22c;qk22d;qk23a;qk23b;qk23c;qk23d;qk23e;qk25a;qk25b;qk25c;qk25d;qk26a;qk26b;qk26c;qk26d;qk26e;qk26f;qk21;qk24
201860;4;3;1;3;2;3;1;1;1;1;5;3;3;4;3;3;1;1;1;5;1;4;4;5;3;3;7;200
201871;2;1;1;1;2;3;2;3;3;4;5;3;3;3;4;4;3;3;4;5;3;3;3;4;4;4;2;20
201904;1;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;3;1;1;50;400
201906;2;4;5; ;1;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
201912;2;2;1;2;4;5;4;1;2;4;1;4;4;4;4;4;1;3;4;1;1;3;4;3;4;4;5;100
201919;1;1;1;1;5;5;1;2;2;3;5;3;3;4;5;4;2;4;4;5;3;3;3;5;3;2;2;200
201932;1;5;5; ;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
202006;3;1;1;1;1;3; ;1;2;3;5;3;1;2;3;3;1;1;3;5;1;1;1;3;3;5;10;5
202064;2;2;1;1;3;5; ;1;3;5;6;1;3;3;3;2;1;3;5;6;1;3;3;3;3;3;1;20
202107;1;3;1;2; ; ; ;3;1;5;1;3;1;4;5;3;1;4;3;1;1;4;5;5;3;1;10;500
202111;1;5;1;1;1;5;1;2;1;5;2;5;2;2;5;5;1;2;4;1;1;2;2;2;2;1;4;200
202115;4;3;1;1;1;1;1;3;4;3;1;1;3;1;4;3;1;5;1;1;1;3;3;4;1;1;5;300
202120;2;1;1;1;1;5;2;2;2;3;1;3;2;3;3;4;1;5;3;1;1;4;4;4;2;3;15;500
202124;4;1;1;3;5;5; ;3;2;2;6;4;2;3;4;4;1;3;4;6;1;4;3;4;3;4;5;998
202127;2;3;5; ;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
202128;2;5;1;2;5;5;1;3;3;4;4;5;3;3;3;5;2;3;4;4;4;3;3;3;4;5;1;5
202147;4;2;5;3;5;2;2;3;4;5;4;4;4;4;5;5;4;5;5;4;5;5;5;5;4;4;2;1
202209;4;5;2;3;3;2;2;4;1;1;6;3;1;4;4;1;1;4;4;6;1;4;4;4;4;1;25;15
202266;1;5;1;1;4;4;1;3;2;3;2;5;1;1;4;5;1;2;4;1;2;2;2;4;4;4;2;300
202269;1;5;1;1;2;5;2;1;2;5;1;3;3;3;2;3;1;2;2;1;1;3;3;2;3;2;9;100
202275;4;3;5; ;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
202314;3;2;1;2;1;5;1;2;2;2;2;2;3;3;4;3;1;2;2;1;1;3;4;4;3;3;6;200
202397;1;1;2;1;3;5; ;1;1;2;5;1;5;2;1;3; ; ; ; ; ; ; ; ; ; ;20; 
202406;3;1;2;3;3;1;1;3;2;4;2;4;3;4;5;4;2;5;4;4;3;4;4;5;5;5;3;7
